date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:22	19595/19595	---M--	200	added ('OK')	image/png	etag:%225c016bb0-4c8b%22	http://kyle.malyarchuk.space/img/blog/authors/author-1.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/authors/author-1.png	(from http://kyle.malyarchuk.space/blog-page.html)
22:09:26	21458/21458	---M--	200	added ('OK')	image/png	etag:%225c016bba-53d2%22	http://kyle.malyarchuk.space/img/blog/authors/author-2.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/authors/author-2.png	(from http://kyle.malyarchuk.space/blog-page.html)
22:09:28	20084/20084	---M--	200	added ('OK')	image/png	etag:%225c016bc8-4e74%22	http://kyle.malyarchuk.space/img/blog/authors/author-3.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/authors/author-3.png	(from http://kyle.malyarchuk.space/blog-page.html)
22:09:31	139796/139796	---M--	200	added ('OK')	image/jpeg	etag:%225db4808f-22214%22	http://kyle.malyarchuk.space/img/slider/4.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/slider/4.jpg	(from http://kyle.malyarchuk.space/blog-page.html)
22:09:32	395535/395535	---M--	200	added ('OK')	image/jpeg	etag:%225e13b705-6090f%22	http://kyle.malyarchuk.space/img/bg.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/bg.jpg	(from http://kyle.malyarchuk.space/css/style.css)
22:10:12	228082/228082	---M--	200	added ('OK')	image/jpeg	etag:%225dda680c-37af2%22	http://kyle.malyarchuk.space/img/blog/img-3.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/img-3.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:10:30	315377/315377	---M--	200	added ('OK')	image/jpeg	etag:%225d6e1c9b-4cff1%22	http://kyle.malyarchuk.space/img/blog/post/blog-1.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/post/blog-1.jpg	(from http://kyle.malyarchuk.space/blog-list.html)
22:10:32	438074/438074	---M--	200	added ('OK')	image/jpeg	etag:%225dd68e59-6af3a%22	http://kyle.malyarchuk.space/img/blog-bg.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog-bg.jpg	(from http://kyle.malyarchuk.space/blog-list.html)
22:10:47	71846/71846	---M--	200	added ('OK')	image/jpeg	etag:%225d724f31-118a6%22	http://kyle.malyarchuk.space/img/blog/post/gallery/gallery-1.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/post/gallery/gallery-1.jpg	(from http://kyle.malyarchuk.space/blog-list.html)
22:11:02	79890/79890	---M--	200	added ('OK')	image/jpeg	etag:%225d724f33-13812%22	http://kyle.malyarchuk.space/img/blog/post/gallery/gallery-2.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/post/gallery/gallery-2.jpg	(from http://kyle.malyarchuk.space/blog-list.html)
22:11:18	410277/410277	---M--	200	added ('OK')	image/jpeg	etag:%225d6e1c9f-642a5%22	http://kyle.malyarchuk.space/img/blog/post/blog-3.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/post/blog-3.jpg	(from http://kyle.malyarchuk.space/blog-list.html)
22:11:21	613522/613522	---M--	200	added ('OK')	image/jpeg	etag:%225d6e1ca1-95c92%22	http://kyle.malyarchuk.space/img/blog/post/blog-2.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/post/blog-2.jpg	(from http://kyle.malyarchuk.space/blog-list.html)
22:11:23	118611/118611	---M--	200	added ('OK')	image/jpeg	etag:%225d724f39-1cf53%22	http://kyle.malyarchuk.space/img/blog/post/gallery/gallery-3.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/post/gallery/gallery-3.jpg	(from http://kyle.malyarchuk.space/blog-list.html)
